,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
1166,SkGPIen8LUVLCV3ot-DKtw,Marcy & Myrtle Cafe,4.48863636973214,20.25,1,1,1.0,40.6951266257375,-73.9492401651453,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1167,eOxGkxi5hEY426ww5qk3GA,Golda,5.003946305945459,16.0,1,1,2.0,40.68151,-73.95591,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1171,LlPb2VR6eQmxuRXH9oEtkw,Variety,5.5053315359323625,16.0,1,1,1.0,40.715415,-73.944252,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1173,DO91C6baD0RSO-AN6cKCCA,The West,5.5093883366279774,16.0,1,1,2.0,40.711757,-73.951537,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1175,iyuZRb2jCnlj-ddYoX44dw,Sweetleaf,6.2285110035911835,16.0,1,1,2.0,40.7432877579923,-73.9516040481087,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1,Queens
1176,CArqlSrLiPsvneS18xpwqQ,Figo Il Gelato Italiano,6.238324625039508,20.25,1,1,2.0,40.72068678210789,-73.99661435889556,0,0,1,0,0,1,0,0,0,0,2.0,2.0,1,Manhattan
1177,aNCF4-9nH3hbLJXqIW3EgA,Semicolon Cafe,5.598421958998375,20.25,1,1,,40.714351,-74.034801,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1,New Jersey
1179,ejZjFbR_Z3He5pi699eJKg,Birch Coffee,4.454347296253507,16.0,1,1,2.0,40.710971,-74.005676,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1181,vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,7.978310969867722,20.25,1,1,4.0,40.761557,-73.981763,0,0,0,0,0,0,0,0,0,1,4.0,4.0,1,Manhattan
1182,BIFbVuIDJFS_2u_8vJxnwA,Tompkins Square Bagels -  2nd Ave,6.063785208687608,16.0,1,1,1.0,40.73064,-73.98578,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Manhattan
1183,9AP2VYXrBiea6KtOwb5xjQ,Philomena's,5.19295685089021,20.25,1,1,2.0,40.743264,-73.922928,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Queens
